,station,linename,date_time,traffic,date,join_station_line
84837,75 AV,EF,2016-03-26 04:00:00,90.0,2016-03-26,75 AV EF
85389,75 ST-ELDERTS,JZ,2016-03-26 04:00:00,207.0,2016-03-26,75 ST-ELDERTS JZ
85946,77 ST,6,2016-03-26 05:00:00,625.0,2016-03-26,77 ST 6
86499,77 ST,R,2016-03-26 04:00:00,126.0,2016-03-26,77 ST R
87049,79 ST,1,2016-03-26 05:00:00,308.0,2016-03-26,79 ST 1
87600,79 ST,D,2016-03-26 04:00:00,130.0,2016-03-26,79 ST D
88153,8 AV,ACEL,2016-03-26 05:00:00,2003.0,2016-03-26,8 AV ACEL
88702,8 AV,N,2016-03-26 05:00:00,242.0,2016-03-26,8 AV N
89259,8 ST-NYU,NR,2016-03-26 04:00:00,1614.0,2016-03-26,8 ST-NYU NR
89815,80 ST,A,2016-03-26 05:00:00,42.0,2016-03-26,80 ST A
90374,81 ST-MUSEUM,BC,2016-03-26 05:00:00,105.0,2016-03-26,81 ST-MUSEUM BC
90936,82 ST-JACKSON H,7,2016-03-26 04:00:00,1206.0,2016-03-26,82 ST-JACKSON H 7
91497,85 ST-FOREST PK,J,2016-03-26 04:00:00,149.0,2016-03-26,85 ST-FOREST PK J
92043,86 ST,1,2016-03-26 05:00:00,681.0,2016-03-26,86 ST 1
92597,86 ST,456,2016-03-26 04:00:00,2178.0,2016-03-26,86 ST 456
93167,86 ST,BC,2016-03-26 04:00:00,217.0,2016-03-26,86 ST BC
93718,86 ST,N,2016-03-26 05:00:00,66.0,2016-03-26,86 ST N
94269,86 ST,R,2016-03-26 04:00:00,356.0,2016-03-26,86 ST R
94816,88 ST,A,2016-03-26 05:00:00,125.0,2016-03-26,88 ST A
95363,9 AV,D,2016-03-26 05:00:00,261.0,2016-03-26,9 AV D
95913,90 ST-ELMHURST,7,2016-03-26 04:00:00,724.0,2016-03-26,90 ST-ELMHURST 7
96471,96 ST,123,2016-03-26 05:00:00,1745.0,2016-03-26,96 ST 123
97042,96 ST,6,2016-03-26 05:00:00,295.0,2016-03-26,96 ST 6
97598,96 ST,BC,2016-03-26 04:00:00,239.0,2016-03-26,96 ST BC
98145,9TH STREET,1,2016-03-26 04:15:50,83.0,2016-03-26,9TH STREET 1
100705,ALABAMA AV,J,2016-03-26 05:00:00,123.0,2016-03-26,ALABAMA AV J
101254,ALLERTON AV,25,2016-03-26 05:00:00,199.0,2016-03-26,ALLERTON AV 25
101810,AQUEDUCT N.COND,A,2016-03-26 05:00:00,121.0,2016-03-26,AQUEDUCT N.COND A
102355,AQUEDUCT RACETR,A,2016-03-26 04:00:00,197.0,2016-03-26,AQUEDUCT RACETR A
102900,ASTOR PL,6,2016-03-26 05:00:00,1047.0,2016-03-26,ASTOR PL 6
103452,ASTORIA BLVD,NQ,2016-03-26 04:00:00,639.0,2016-03-26,ASTORIA BLVD NQ
103997,ASTORIA DITMARS,NQ,2016-03-26 04:00:00,1027.0,2016-03-26,ASTORIA DITMARS NQ
104567,ATL AV-BARCLAY,2345BDNQR,2016-03-26 04:00:00,760.0,2016-03-26,ATL AV-BARCLAY 2345BDNQR
105128,ATL AV-BARCLAY,BDNQR2345,2016-03-26 04:00:00,2934.0,2016-03-26,ATL AV-BARCLAY BDNQR2345
105684,ATLANTIC AV,L,2016-03-26 04:00:00,67.0,2016-03-26,ATLANTIC AV L
106233,AVENUE H,BQ,2016-03-26 04:00:00,179.0,2016-03-26,AVENUE H BQ
106787,AVENUE I,F,2016-03-26 05:00:00,56.0,2016-03-26,AVENUE I F
107339,AVENUE J,BQ,2016-03-26 04:00:00,142.0,2016-03-26,AVENUE J BQ
107888,AVENUE M,BQ,2016-03-26 04:00:00,97.0,2016-03-26,AVENUE M BQ
108446,AVENUE N,F,2016-03-26 05:00:00,110.0,2016-03-26,AVENUE N F
108996,AVENUE P,F,2016-03-26 04:00:00,93.0,2016-03-26,AVENUE P F
109553,AVENUE U,BQ,2016-03-26 05:00:00,130.0,2016-03-26,AVENUE U BQ
110088,AVENUE U,F,2016-03-26 05:00:00,48.0,2016-03-26,AVENUE U F
